term,estimate,std_error,t_value,p_value
housing_(Intercept),1.2721933202578233,0.10457472444840281,12.165399688770146,0
housing_lnp_h,0.22799109311460697,0.018141015123456658,12.567714185950399,0
housing_lnp_f,0.05588713510240452,0.007959655618886952,7.021300641423927,4.971800748876376e-12
housing_lnp_s,-0.14217701806382876,0.014711709259232144,-9.664207982808483,0
housing_lnp_c,-0.04974015561544167,0.01031696430028716,-4.821200710567276,1.7315996463374006e-6
housing_lnXP5,-0.12135698798418439,0.011727149068302665,-10.34837941236719,0
housing_trend,7.145464431590107e-5,3.1924446740246495e-5,2.2382422128499933,0.02550112692940054
food_(Intercept),0.9694973232496581,0.07521179584582444,12.89022968201712,0
food_lnp_h,0.055887135102379436,0.007959655618889694,7.021300641418357,4.971800748876376e-12
food_lnp_f,0.015539309130505,0.0066983604781838246,2.31986755283112,0.02061852362716121
food_lnp_s,-0.019922519457591485,0.00940087084890917,-2.1192206315549154,0.034403373866340736
food_lnp_c,0.009885021277263293,0.007533858464773863,1.3120795039464552,0.1898990712653208
food_lnXP5,-0.09992756485212793,0.008431602941950004,-11.851550119249017,0
food_trend,1.506089474359548e-4,2.028410642362345e-5,7.424973242131648,3.1019631308026874e-13
foodsvc_(Intercept),-0.9222382394121952,0.08980374487928065,-10.26948531658586,0
foodsvc_lnp_h,-0.142177018056511,0.014711709259237,-9.664207982307882,0
foodsvc_lnp_f,-0.01992251945758931,0.009400870848912541,-2.119220631553924,0.03440337386642467
foodsvc_lnp_s,0.1571189915535257,0.023438389683879887,6.703489176203377,4.029709899100453e-11
foodsvc_lnp_c,-0.02013853953574825,0.01071357374758227,-1.8797219312830054,0.06053760149796039
foodsvc_lnXP5,0.11019853376025815,0.010061056731436894,10.952978071968378,0
foodsvc_trend,-1.8572626424012142e-4,2.522544027928211e-5,-7.362656991666469,4.800604358479177e-13
health_(Intercept),-0.9970650384292148,0.10229733241798988,-9.746735470629654,0
health_lnp_h,-0.04974015561683074,0.010316964300290837,-4.821200710700197,1.731599645005133e-6
health_lnp_f,0.009885021277315035,0.007533858464774448,1.3120795039532211,0.1898990712630395
health_lnp_s,-0.020138539535793348,0.010713573747582208,-1.8797219312872255,0.060537601497384186
health_lnp_c,0.16166931469137832,0.010819518857308684,14.942375610553995,0
health_lnXP5,0.1300257868765152,0.011467069240768079,11.339060063773182,0
health_trend,-2.019613586468731e-4,2.7330111619466448e-5,-7.389701200598898,3.9745984281580604e-13
