term,estimate,std_error,t_value,p_value
core_(Intercept),2.300154993289564,0.12348241065346385,18.62738977249665,0
core_lnp1_rel,0.14696415633831525,0.022362852178807936,6.571798407610332,1.67633684711177e-10
core_lnp2_rel,0.029221653689899173,0.02541443990552605,1.1498051422154416,0.2509608114872399
core_lnXPstar,-0.2282801657819031,0.013841979895591067,-16.49187236969002,0
core_trend,2.978700085427586e-4,3.440750242460739e-5,8.65712381174547,0
other_(Intercept),-0.9818065965032562,0.1547637030412165,-6.343907371108732,6.491509552120078e-10
other_lnp1_rel,0.02922165368989916,0.025414439905526054,1.1498051422154407,0.25096081148724037
other_lnp2_rel,0.059848877436190745,0.036616610956922493,1.6344734226386977,0.10300313128293781
other_lnXPstar,0.13629174053775506,0.017346844610295214,7.856860633712428,4.263256414560601e-14
other_trend,-2.953155708573402e-4,4.111553732207949e-5,-7.182578414188754,3.7405634145670774e-12
