term,estimate,std_error,t_value,p_value
shelter_(Intercept),1.212794037725833,0.09514987593573991,12.746144183570996,0
shelter_lnp_sh,0.21133392400128181,0.017685452358923968,11.949591093984319,0
shelter_lnp_h,0.03522115397095139,0.009567505045997047,3.6813311100042307,2.545557492328321e-4
shelter_lnp_a,-0.11812235551161114,0.01586791653350521,-7.444099876766745,3.7214675785435247e-13
shelter_lnXP,-0.11472353963859587,0.010677391684451748,-10.744528535527502,0
shelter_trend,5.444432362200628e-5,2.9794896558434013e-5,1.8273036630695996,0.06818806173943592
home_(Intercept),1.091088208224434,0.07037736686616931,15.503396287889887,0
home_lnp_sh,0.03522115397003805,0.009567505045996318,3.681331109909048,2.5455574932564673e-4
home_lnp_h,-0.008552186101372178,0.009369101344851643,-0.9128075133984581,0.36173799460541556
home_lnp_a,0.003260813261372782,0.010724163372825538,0.30406225157251054,0.7611938173392812
home_lnXP,-0.11358069986717907,0.007894697557213021,-14.386960240599162,0
home_trend,1.900481828921244e-4,2.0200480746866124e-5,9.408101979038705,0
away_(Intercept),-1.0346949173013424,0.07776879804791302,-13.304756448259253,0
away_lnp_sh,-0.11812235550949438,0.01586791653349638,-7.44409987663749,3.7214675785435247e-13
away_lnp_h,0.0032608132612304123,0.010724163372828046,0.30406225155916383,0.7611938173494437
away_lnp_a,0.1415701381580953,0.026016484258685867,5.44155531356358,7.918594047140459e-8
away_lnXP,0.12286046279841698,0.008722854122338766,14.084892522021875,0
away_trend,-2.3742784428886228e-4,2.4641405039795473e-5,-9.635320871736823,0
