date,index_type,index_norm
2010-01-01,Core Essentials,81.2174987080341
2010-02-01,Core Essentials,81.22768302225928
2010-03-01,Core Essentials,81.34914683135715
2010-04-01,Core Essentials,81.38705370602105
2010-05-01,Core Essentials,81.41226410420578
2010-06-01,Core Essentials,81.40202239900039
2010-07-01,Core Essentials,81.47661717917664
2010-08-01,Core Essentials,81.5072780247049
2010-09-01,Core Essentials,81.5794740066242
2010-10-01,Core Essentials,81.61689832011227
2010-11-01,Core Essentials,81.69013379063176
2010-12-01,Core Essentials,81.81684502340187
2011-01-01,Core Essentials,82.02783450867535
2011-02-01,Core Essentials,82.30476545193511
2011-03-01,Core Essentials,82.6060530619396
2011-04-01,Core Essentials,82.78586322304848
2011-05-01,Core Essentials,83.00028150097435
2011-06-01,Core Essentials,83.11434214260063
2011-07-01,Core Essentials,83.35174930316609
2011-08-01,Core Essentials,83.61813347290294
2011-09-01,Core Essentials,83.86890619017548
2011-10-01,Core Essentials,83.9785611102417
2011-11-01,Core Essentials,84.01321052003233
2011-12-01,Core Essentials,84.13746847405463
2012-01-01,Core Essentials,84.30484221529801
2012-02-01,Core Essentials,84.32710062449186
2012-03-01,Core Essentials,84.47140337750234
2012-04-01,Core Essentials,84.60589193156814
2012-05-01,Core Essentials,84.62419240057922
2012-06-01,Core Essentials,84.75159481443036
2012-07-01,Core Essentials,84.82012890197542
2012-08-01,Core Essentials,84.99630541443139
2012-09-01,Core Essentials,85.11267961204977
2012-10-01,Core Essentials,85.32198439370944
2012-11-01,Core Essentials,85.51007565145039
2012-12-01,Core Essentials,85.66210961929013
2013-01-01,Core Essentials,85.81149762348272
2013-02-01,Core Essentials,85.9644148197131
2013-03-01,Core Essentials,86.0698081187095
2013-04-01,Core Essentials,86.27895187917657
2013-05-01,Core Essentials,86.40327284483683
2013-06-01,Core Essentials,86.56386039256745
2013-07-01,Core Essentials,86.6616815839867
2013-08-01,Core Essentials,86.78604949417786
2013-09-01,Core Essentials,86.91070205995642
2013-10-01,Core Essentials,87.05325161209926
2013-11-01,Core Essentials,87.14421910460699
2013-12-01,Core Essentials,87.33777929292611
2014-01-01,Core Essentials,87.61695904548577
2014-02-01,Core Essentials,87.85649972273423
2014-03-01,Core Essentials,88.32302298926977
2014-04-01,Core Essentials,88.38660789721214
2014-05-01,Core Essentials,88.73378935868863
2014-06-01,Core Essentials,88.85686362962028
2014-07-01,Core Essentials,89.07890387682096
2014-08-01,Core Essentials,89.22188902825646
2014-09-01,Core Essentials,89.3823902210792
2014-10-01,Core Essentials,89.50532528308375
