good,mean_share,expenditure_elasticity,marshallian_own_price,hicksian_own_price,classification
Core Essentials,0.2576582736793088,0.11401965664790104,-0.20133583591019713,-0.1719577280127914,Necessity
Other Essentials,0.2356477286183647,1.5783706948369605,-0.8823156984723679,-0.5103762293162482,Luxury
Everything Else,0.5066939977023265,1.1815463093332115,-0.5684844122557455,0.030198010690729027,Luxury
