YEAR,AGE,avg_no_children,avg_no_children_3_year
1976,14,6.368130670436126e-4,0.0019814414044208328
1976,15,0.0032742002449304064,0.005199530142124536
1976,16,0.011835147476013377,0.013627231600558289
1976,17,0.025877225754235716,0.06046330772491845
1976,18,0.1426048604085332,0.12962629724017824
1976,19,0.2192742397086956,0.23205031803034848
1976,20,0.3375090452637475,0.33543797633657646
1976,21,0.45565570554973545,0.4474889008974323
1976,22,0.5570474536531647,0.5832508147311259
1976,23,0.7410656782413889,0.714492736796974
1976,24,0.8474121588913665,0.8682949271477793
1976,25,1.028897962749677,1.016526677204082
1976,26,1.1756924854150668,1.2069693437226303
1976,27,1.4157986758863805,1.3478693104741308
1976,28,1.4584801911484104,1.5325025616852814
1976,29,1.7189806350973356,1.6693758914082362
1976,30,1.8589282152337785,1.8599536513767405
1976,31,2.0447121232275993,2.0116766177877325
1976,32,2.1297640490823655,2.1545668215883933
1976,33,2.276277786685971,2.2931300934298475
1976,34,2.4965834770558897,2.440367056577012
1976,35,2.5892968630912545,2.591906850285156
1976,36,2.695860379454873,2.723327972436868
1976,37,2.8815948830623026,2.8025580792848106
1976,38,2.830095684114368,2.917053387148127
1976,39,3.0499072487758667,2.9630875067199876
1976,40,3.0215142743257006,3.0354643768033
1976,41,3.0348198475969443,3.0834595538453535
1976,42,3.195761618362051,3.1068627623864544
1976,43,3.091400397960903,3.1334128995003816
1976,44,3.1152497134633537,3.1033082729797705
1977,14,0.002457439772083918,0.0027720521477027074
1977,15,0.0030882669407336543,0.007958037708474542
1977,16,0.018108389361534343,0.02186275917320987
1977,17,0.04446889365109393,0.0656509272766189
1977,18,0.1314408365553541,0.1294978941146086
1977,19,0.21256936223468959,0.2177039833325748
1977,20,0.3141766792618934,0.3203362643375744
1977,21,0.4326113702263994,0.42334283421634644
1977,22,0.5252909952587073,0.5491724876781191
1977,23,0.7005177691341742,0.6572939666875985
1977,24,0.7548470224001345,0.7882658691052851
1977,25,0.9175136163633901,0.9168723613281454
1977,26,1.096180022827457,1.1091813569556712
1977,27,1.314111892701857,1.295017846997518
1977,28,1.459945393330376,1.4565799056549409
1977,29,1.590077708243773,1.5930006281655875
1977,30,1.7219995392920937,1.74107138135123
1977,31,1.9646231662615874,1.9134918409996542
1977,32,2.1272065950992762,2.117643869400295
1977,33,2.2563310611711795,2.2314137769431412
1977,34,2.3004682301261896,2.354713697167898
1977,35,2.5218628734559094,2.4784688771701076
1977,36,2.650643172160427,2.624396854537394
1977,37,2.713900654374404,2.745842461738415
1977,38,2.8763617084721242,2.8218272138110954
1977,39,2.871586781448693,2.9677618032289477
1977,40,3.1537837843090726,3.0650141278189045
1977,41,3.1804635481806898,3.1369548027419785
1977,42,3.076351140408715,3.1241780252166707
1977,43,3.116021795779123,3.1196600181232457
1977,44,3.1672239958362622,3.1427671308675733
1979,14,0,0.0030986275071948556
1979,15,0.006203704165237706,0.0055199037048575764
1979,16,0.010173698909890182,0.01576991331336047
1979,17,0.030727366940829594,0.06596589558670866
1979,18,0.1540848590847803,0.14211836935082414
1979,19,0.23670485810516967,0.24046437501209428
1979,20,0.3319368919944516,0.3259841337648432
1979,21,0.4084338133053005,0.4310297907544063
1979,22,0.5560316214424998,0.5486003026667559
1979,23,0.6916774054953492,0.687102679538244
1979,24,0.8150969458405665,0.8028452363520605
1979,25,0.902593159866424,0.9201080586798517
1979,26,1.0577243121231619,1.0500703646870206
1979,27,1.1948472547472957,1.1994014741641423
1979,28,1.3426862704998208,1.3771513177404846
1979,29,1.6128334217439806,1.5274126786757787
1979,30,1.6277269807889527,1.665810783463442
1979,31,1.7569476486809377,1.776960281964914
1979,32,1.9440570214421735,1.910304037443786
1979,33,2.0595862878272873,2.045266459627683
1979,34,2.1694469956800257,2.1932654060997008
1979,35,2.3431136255262937,2.3483012977099924
1979,36,2.510643269899513,2.4745439277265806
1979,37,2.581854016319169,2.6026730998701435
1979,38,2.7318183974741905,2.678358948245822
1979,39,2.720690125515696,2.7312326028277143
1979,40,2.7409695734905273,2.829256162218954
1979,41,3.053543270028045,2.9498715435940355
1979,42,3.0852861616564597,3.089902532473905
1979,43,3.1297087458283293,3.074014698856493
1979,44,3.0056023688474087,3.06841374106443
1980,15,0.009597889259739577,0.011850468581080178
1980,16,0.013974883742433343,0.016409372066434953
1980,17,0.02525720965696221,0.06238041487457109
1980,18,0.14676851687670478,0.12961473444475688
1980,19,0.2134374009004194,0.23186813321920863
1980,20,0.33315450868352936,0.32138190257931754
1980,21,0.41630300750572163,0.44183512323265456
1980,22,0.5815330686433251,0.5601942659668244
1980,23,0.68606823270903206,0.677101649517531
1980,24,0.7614652817969643,0.7821264289996906
1980,25,0.9043642885851585,0.894744097885752
1980,26,1.0224232356153267,1.0459635195438601
1980,27,1.222387241915068,1.1773711630994774
1980,28,1.2968290194295369,1.3305449219829215
1980,29,1.474663059282635,1.4595847302499962
1980,30,1.6163375386264232,1.5884163010830048
1980,31,1.6781735026185405,1.7143759141218746
1980,32,1.848468152658964,1.8318448253202795
1980,33,1.9624901214930575,1.951451054440488
1980,34,2.0652183711368646,2.062261854584734
1980,35,2.195273869055044,2.1784024685541086
1980,36,2.2748746362560923,2.3249546556156293
1980,37,2.4879850339165865,2.4645078384403987
1980,38,2.6421941482547173,2.600591517749585
1980,39,2.6879083585017733,2.7121926707710347
1980,40,2.8121399541009997,2.752006075337594
1980,41,2.759673144065946,2.8961933458494973
1980,42,3.1327202241737435,2.995399470003942
1980,43,3.10430065824317,3.1323147461132
1980,44,3.1585182937568117,3.132114700407878
1981,15,0.002877600081595308,0.003702838886366222
1981,16,0.004515289312115486,0.014387616903444287
1981,17,0.0339587773567938,0.05221282025359542
1981,18,0.11352552980668647,0.12175246305427014
1981,19,0.2207872942876071,0.22916405949476687
1981,20,0.3501038217984187,0.3260148044750722
1981,21,0.40070904315222616,0.4307995338523512
1981,22,0.5464793495157165,0.5395840959794993
1981,23,0.6700732985174409,0.6900537485702879
1981,24,0.8501755966784014,0.826117999917513
1981,25,0.9655090982703415,0.9718581195515199
1981,26,1.107415440962383,1.0835618381403032
1981,27,1.1807673072557445,1.1994995190298272
1981,28,1.3106399478108852,1.312598403723705
1981,29,1.4536232801077755,1.4390420125596493
1981,30,1.5580161022746222,1.5676332052712354
1981,31,1.694476939543851,1.677157408816857
1981,32,1.7874797685039707,1.8103785939774317
1981,33,1.9516805865199125,1.9136512791452422
1981,34,1.9959522366166764,1.9963734972212521
1981,35,2.0492185133607626,2.0720977302935037
1981,36,2.1989179211900853,2.215816095038077
1981,37,2.4079783011973976,2.3514307251094246
1981,38,2.4393057851241893,2.4802725134844583
1981,39,2.6018974027848274,2.5761274637502845
1981,40,2.7035400059082675,2.7009716013757687
1981,41,2.8060229345635688,2.7783059356575643
1981,42,2.834393473921013,2.9023980004342578
1981,43,3.066909765941709,2.9408419940836454
1981,44,2.9127241607054106,2.993811971962085
1982,15,8.133521818220969e-4,0.006247782337591935
1982,16,0.011635310456923986,0.012846447680330289
1982,17,0.025229979506606024,0.05592856913925238
1982,18,0.12459393194786508,0.113832468538067
1982,19,0.1889081640746397,0.19853150833691136
1982,20,0.28126375789439256,0.2931019373385631
1982,21,0.4016999548818728,0.39182401460327293
1982,22,0.4898722628592969,0.4982228945698402
1982,23,0.6062464642109154,0.6073994454732246
1982,24,0.7206703070092717,0.7606968161901274
1982,25,0.9583526047536147,0.9092679619360661
1982,26,1.0651931609792518,1.0865958455486862
1982,27,1.2357738124034552,1.1926088365046
1982,28,1.2755036354693028,1.2876439624356457
1982,29,1.3541237343895902,1.3822573989416105
1982,30,1.522872673613204,1.4957607476663903
1982,31,1.6185802567503234,1.6130017292790175
1982,32,1.6995337049900137,1.730584031706762
1982,33,1.888386629779079,1.8437573148547446
1982,34,1.9474658795674706,1.923943373424913
1982,35,1.9319371561137784,1.9810965401836502
1982,36,2.0884808460842725,2.0702729765365135
1982,37,2.229643088223724,2.2341029581701433
1982,38,2.3934481460577657,2.363630915985356
1982,39,2.470987846989037,2.475018257663628
1982,40,2.56137262216317,2.605939688641776
1982,41,2.806506082342466,2.7063236104198496
1982,42,2.7622209709053136,2.8121342995466585
1982,43,2.8728088406893937,2.859127984808024
1982,44,2.9481955603061873,2.9110605989620986
1983,15,0.0032528796461474617,0.0048409297725127256
1983,16,0.0063664859900127895,0.009554634598654254
1983,17,0.018746039172806657,0.0555656710352841
1983,18,0.13390823824414008,0.11847421462801573
1983,19,0.19391174801906705,0.19380277799168916
1983,20,0.2532979911223335,0.28261787448703984
1983,21,0.39309467308626495,0.3879572631882997
1983,22,0.5091016312085125,0.5215437180980128
1983,23,0.6597622078569703,0.6565276951182939
1983,24,0.7960153453249545,0.7833229695986881
1983,25,0.8999891092868613,0.9166079111701383
1983,26,1.0588544544705332,1.0348023303917298
1983,27,1.1385146415367482,1.1495280737648208
