date,expinf5yr,unrate,nrou,core_pce,mich,gdp,job_openings,median_cpi,FRB_exp,core_pce_changeA,unrate_slack,FRB_post1991,lagged_1,lagged_2,predicted_1980_2019,predicted_1970_2019
1964-10-01,NA,5.1,5.633007,18.149,NA,697.319,NA,NA,NA,0.8419140456503049,-0.5330070000000005,NA,1.0224411251996468,1.5199504200918312,NA,NA
1965-01-01,NA,4.9,5.645976999999999,18.226,NA,717.79,NA,NA,NA,1.7078938669928823,-0.745976999999999,NA,0.8419140456503049,1.0224411251996468,NA,NA
1965-04-01,NA,4.8,5.659044000000001,18.28,NA,730.191,NA,NA,NA,1.19039748063563,-0.8590440000000008,NA,1.7078938669928823,0.8419140456503049,NA,NA
1965-07-01,NA,4.4,5.672116,18.327,NA,749.323,NA,NA,NA,1.0324195749631615,-1.2721159999999996,NA,1.19039748063563,1.7078938669928823,NA,NA
1965-10-01,NA,4.2,5.685105,18.377,NA,771.857,NA,NA,NA,1.095760103712795,-1.485105,NA,1.0324195749631615,1.19039748063563,NA,NA
1966-01-01,NA,4,5.69793,18.473,NA,795.734,NA,NA,NA,2.105999191443364,-1.6979300000000004,NA,1.095760103712795,1.0324195749631615,NA,NA
1966-04-01,NA,3.8,5.710529,18.608,NA,804.981,NA,NA,NA,2.955385384679232,-1.9105290000000004,NA,2.105999191443364,1.095760103712795,NA,NA
1966-07-01,NA,3.8,5.722861,18.773,NA,819.638,NA,NA,NA,3.5943169112540474,-1.9228610000000002,NA,2.955385384679232,2.105999191443364,NA,NA
1966-10-01,NA,3.7,5.734915,18.927,NA,833.302,NA,NA,NA,3.3219057155770004,-2.034915,NA,3.5943169112540474,2.955385384679232,NA,NA
1967-01-01,NA,3.9,5.746704,19.05,NA,844.17,NA,NA,NA,2.6249105396930483,-1.8467040000000003,NA,3.3219057155770004,3.5943169112540474,NA,NA
1967-04-01,NA,3.8,5.7582700000000004,19.165,NA,848.983,NA,NA,NA,2.436651669740808,-1.9582700000000006,NA,2.6249105396930483,3.3219057155770004,NA,NA
1967-07-01,NA,3.8,5.769672,19.322,NA,865.233,NA,NA,NA,3.317292515414838,-1.969672,NA,2.436651669740808,2.6249105396930483,NA,NA
1967-10-01,NA,4,5.780983999999999,19.523,NA,881.439,NA,NA,NA,4.226440466431169,-1.7809839999999992,NA,3.317292515414838,2.436651669740808,NA,NA
1968-01-01,NA,3.7,5.792286,19.72,NA,909.387,NA,NA,NA,4.097769812812135,-2.0922859999999996,NA,4.226440466431169,3.317292515414838,NA,NA
1968-04-01,NA,3.5,5.803658485412598,19.957,NA,934.344,NA,NA,NA,4.8946617571340445,-2.3036584854125977,NA,4.097769812812135,4.226440466431169,NA,NA
1968-07-01,NA,3.7,5.815175533294678,20.178,NA,950.825,NA,NA,NA,4.503645711681714,-2.1151755332946776,NA,4.8946617571340445,4.097769812812135,NA,NA
1968-10-01,NA,3.4,5.826905,20.422,NA,968.03,NA,NA,NA,4.925395920237663,-2.426905,NA,4.503645711681714,4.8946617571340445,NA,NA
1969-01-01,NA,3.4,5.838901,20.638,NA,993.337,NA,NA,NA,4.298327690368664,-2.438901,NA,4.925395920237663,4.503645711681714,NA,NA
1969-04-01,NA,3.4,5.85120964050293,20.886,NA,1009.02,NA,NA,NA,4.894003672107949,-2.4512096405029298,NA,4.298327690368664,4.925395920237663,NA,NA
1969-07-01,NA,3.5,5.863864,21.139,NA,1029.956,NA,NA,NA,4.934104430132735,-2.3638640000000004,NA,4.894003672107949,4.298327690368664,NA,NA
1969-10-01,NA,3.7,5.876888,21.375,NA,1038.147,NA,NA,NA,4.54102130438061,-2.176888,NA,4.934104430132735,4.894003672107949,NA,NA
1970-01-01,NA,3.9,5.890298366546631,21.608,NA,1051.2,NA,NA,NA,4.4320470743211215,-1.990298366546631,NA,4.54102130438061,4.934104430132735,NA,NA
1970-04-01,NA,4.6,5.9041,21.857,NA,1067.375,NA,NA,NA,4.689692543485435,-1.3041,NA,4.4320470743211215,4.54102130438061,NA,NA
1970-07-01,NA,5,5.918292,22.098,NA,1086.059,NA,NA,NA,4.483970498460299,-0.9182920000000001,NA,4.689692543485435,4.4320470743211215,NA,NA
1970-10-01,NA,5.5,5.932861,22.376,NA,1088.608,NA,NA,NA,5.127887248330976,-0.43286099999999994,NA,4.483970498460299,4.689692543485435,NA,NA
1971-01-01,NA,5.9,5.947782,22.694,NA,1135.156,NA,NA,3.0976,5.806997043562667,-0.04778199999999977,NA,5.127887248330976,4.483970498460299,3.0842180454283543,4.526736858803119
1971-04-01,NA,5.9,5.9630160000000005,22.939,NA,1156.271,NA,NA,3.0976,4.388756323807308,-0.06301600000000018,NA,5.806997043562667,5.127887248330976,3.264714050951713,5.034119962126614
1971-07-01,NA,6,5.978505611419678,23.218,NA,1177.675,NA,NA,3.0976,4.9545574789076285,0.021494388580322266,NA,4.388756323807308,5.806997043562667,3.0361772223551586,4.423847255762207
1971-10-01,NA,5.8,5.994177,23.326,NA,1190.297,NA,NA,3.4937,1.8736479075830426,-0.19417699999999982,NA,4.9545574789076285,4.388756323807308,3.2382519120454596,4.549780634164063
1972-01-01,NA,5.8,6.00994,23.552,NA,1230.609,NA,NA,3.4937,3.9321916467951246,-0.20994000000000046,NA,1.8736479075830426,4.9545574789076285,2.681508409748588,3.0420401184504593
