qtr_date,cpi,pi,pi_l1,pi_l2,core_pce,core_pce_pi,core_pce_pi_l1,core_pce_pi_l2,exp_pi10,unrate,nairu,unrate_gap,unemp,job_open,v_u,gscpi,good4u_views,good4u_views_norm,good4u_views_log,y2021_2022
1947-01-01,21.7,,,,,,,,,,,,,,,,0.0,0.0,0.0,0
1947-04-01,22.01,5.6738539967826185,,,,,,,,,,,,,,,0.0,0.0,0.0,0
1947-07-01,22.49,8.629548173141544,5.6738539967826185,,,,,,,,,,,,,,0.0,0.0,0.0,0
1947-10-01,23.126666666666665,11.166234760907834,8.629548173141544,5.6738539967826185,,,,,,,,,,,,,0.0,0.0,0.0,0
1948-01-01,23.616666666666664,8.386529838034384,11.166234760907834,8.629548173141544,,,,,,3.733333333333333,,,2253.6666666666665,,,,0.0,0.0,0.0,0
1948-04-01,23.993333333333336,6.3293346056781274,8.386529838034384,11.166234760907834,,,,,,3.6666666666666665,,,2239.3333333333335,,,,0.0,0.0,0.0,0
1948-07-01,24.396666666666665,6.668198784900348,6.3293346056781274,8.386529838034384,,,,,,3.766666666666667,,,2288.3333333333335,,,,0.0,0.0,0.0,0
1948-10-01,24.173333333333332,-3.67856549059411,6.668198784900348,6.3293346056781274,,,,,,3.8333333333333335,,,2324.3333333333335,,,,0.0,0.0,0.0,0
1949-01-01,23.94333333333333,-3.8240679199761374,-3.67856549059411,6.668198784900348,,,,,,4.666666666666667,5.255052567,-0.5883859003333329,2825.0,,,,0.0,0.0,0.0,0
1949-04-01,23.916666666666668,-0.445744578791718,-3.8240679199761374,-3.67856549059411,,,,,,5.866666666666667,5.261515617,0.6051510496666674,3581.0,,,,0.0,0.0,0.0,0
1949-07-01,23.71666666666667,-3.359012041547693,-0.445744578791718,-3.8240679199761374,,,,,,6.7,5.268013,1.4319870000000003,4117.666666666667,,,,0.0,0.0,0.0,0
1949-10-01,23.66,-0.9568709270045161,-3.359012041547693,-0.445744578791718,,,,,,6.966666666666666,5.274564,1.692102666666666,4325.0,,,,0.0,0.0,0.0,0
1950-01-01,23.58666666666667,-1.241711170706239,-0.9568709270045161,-3.359012041547693,,,,,,6.3999999999999995,5.281182,1.1188179999999992,3946.0,,,,0.0,0.0,0.0,0
1950-04-01,23.766666666666666,3.0409832514662227,-1.241711170706239,-0.9568709270045161,,,,,,5.566666666666666,5.287866,0.27880066666666625,3458.6666666666665,,,,0.0,0.0,0.0,0
