date,gscpi
1998-01-01,-1.085413427742077
1998-02-01,-0.43828187848811984
1998-03-01,-0.059929772198910575
1998-04-01,-0.1182314747640674
1998-05-01,-0.426763253020198
1998-06-01,-0.7413592026979103
1998-07-01,-0.9215220295476392
1998-08-01,-0.8972071680994623
1998-09-01,-0.9071880255907889
1998-10-01,-0.6814720776875016
1998-11-01,-0.8586157326650354
1998-12-01,-0.6145361674506759
1999-01-01,-0.2784062836677496
1999-02-01,0.00354709168114257
1999-03-01,-0.27059708665283866
1999-04-01,-0.21434062931792933
1999-05-01,-0.3498881389741723
1999-06-01,-0.3623386632087522
1999-07-01,-0.6115749779224333
1999-08-01,-0.44471963314916396
1999-09-01,-0.37992530716169837
1999-10-01,-0.11422052542926388
1999-11-01,-0.1602471715718592
1999-12-01,-0.20108933266405218
2000-01-01,-0.610258876332179
2000-02-01,-0.41216439196818483
2000-03-01,-0.276297756223685
2000-04-01,0.13148037310265223
2000-05-01,0.2837896347352403
2000-06-01,0.04677252377566687
2000-07-01,-0.010981767209413353
2000-08-01,0.09002809334012878
2000-09-01,0.04672415762663723
2000-10-01,-0.5167759773627982
2000-11-01,-0.7297970901088375
2000-12-01,-0.9127942151193822
2001-01-01,-0.9110728718875896
2001-02-01,-0.7678140511792545
2001-03-01,-0.5730255638300015
2001-04-01,-0.9852495025757743
2001-05-01,-1.1036999463480643
2001-06-01,-0.6833779414641946
2001-07-01,-0.8165206295276597
2001-08-01,-0.7703432431972768
2001-09-01,-0.6625857927262465
2001-10-01,-1.1990083399046803
2001-11-01,-1.419216053102057
2001-12-01,-1.1448917360799826
2002-01-01,-0.8956651256458255
2002-02-01,-0.4612107946783033
2002-03-01,-0.4211725239711005
2002-04-01,-0.5737516018419178
2002-05-01,-0.29969967759504035
2002-06-01,-0.6132739892005966
2002-07-01,-0.9386262938346834
2002-08-01,-1.070833016868844
2002-09-01,-1.1267853506124523
2002-10-01,-1.2256264107499757
2002-11-01,-0.7457294993560136
2002-12-01,-0.6790979090828572
2003-01-01,-0.6210814154071544
2003-02-01,-0.3001852834096194
2003-03-01,-0.31893492868466905
2003-04-01,-0.5481860397984468
2003-05-01,-0.19544045536202245
2003-06-01,-0.10805241901476369
2003-07-01,0.007603012441448752
2003-08-01,-0.059096111907681784
2003-09-01,0.06753235754492834
2003-10-01,-0.26261186004229237
2003-11-01,-0.40583272338065
2003-12-01,-0.35737775415898243
2004-01-01,-0.49180057615075756
2004-02-01,-0.370704949501637
2004-03-01,0.0025480468110190674
2004-04-01,0.41910756939161964
2004-05-01,0.37061849504355193
2004-06-01,0.4237770288960639
2004-07-01,-0.4428101100745414
2004-08-01,0.07991318410318834
2004-09-01,-0.009167917011588759
2004-10-01,-0.6063891967893601
2004-11-01,-0.05584389671725778
2004-12-01,0.10678194073446041
2005-01-01,-0.11518703052484444
2005-02-01,-0.12073899354952072
2005-03-01,-0.27068573764306014
2005-04-01,-1.3171607731264252
2005-05-01,-0.9843877049658747
2005-06-01,-0.9347460726669897
2005-07-01,-0.8818066872986811
2005-08-01,-0.49998975019533026
2005-09-01,0.08119823022893288
2005-10-01,-0.06961586108842922
2005-11-01,-0.6366239622778558
2005-12-01,-0.6962307615733238
2006-01-01,-0.36349490168536325
2006-02-01,-0.7244717191043616
2006-03-01,-0.38110265447280306
2006-04-01,0.10834921218701135
2006-05-01,0.10637080559407226
2006-06-01,0.16705539044671328
2006-07-01,-0.09211123478037192
2006-08-01,0.06793463744960494
2006-09-01,-0.6350591319674889
2006-10-01,-0.5143160599021184
2006-11-01,-0.22894360050423415
2006-12-01,-0.45769243096009005
2007-01-01,-0.8701845160828434
2007-02-01,-0.7126115232203546
2007-03-01,-0.5880854774278006
2007-04-01,-0.8258215691272365
2007-05-01,-0.4136146108673392
2007-06-01,-0.3696599337583065
2007-07-01,-0.43251443879346646
2007-08-01,-0.09665234752254491
2007-09-01,-0.03437335442227676
2007-10-01,-0.6051207154940388
2007-11-01,-0.4799146650260825
2007-12-01,-0.1434146234911733
2008-01-01,-0.369315501745289
2008-02-01,0.46753081963259385
2008-03-01,0.15837991321703312
2008-04-01,0.13345160256057106
2008-05-01,-0.1151205043881663
2008-06-01,0.2764200731394216
2008-07-01,1.0077549990398442
2008-08-01,0.28028654806626985
2008-09-01,-0.5374025014016541
2008-10-01,-0.9823135343182159
2008-11-01,-1.5317403754108139
2008-12-01,-0.7035271745574815
2009-01-01,-0.40318315579744857
2009-02-01,-0.4367829694363862
2009-03-01,0.1917659500667896
2009-04-01,0.8508198063903113
2009-05-01,0.3410718302606442
2009-06-01,-0.5002236222390984
2009-07-01,-0.7360128710105874
2009-08-01,-1.1239008574033675
2009-09-01,-0.4872019260519585
2009-10-01,-0.4523454673778899
2009-11-01,-0.789482952343215
2009-12-01,-0.6112878763520813
2010-01-01,-0.31962554364470736
2010-02-01,-0.15199594561043436
2010-03-01,0.36730512531885523
2010-04-01,0.2988442230202284
2010-05-01,0.4380481280985149
2010-06-01,-0.030035221222212704
2010-07-01,-0.038155748328312616
2010-08-01,0.3095942751486658
2010-09-01,0.37449051880743955
2010-10-01,0.6793598812663341
2010-11-01,0.4542473521528938
2010-12-01,0.7043442977544538
2011-01-01,0.7752132107782564
2011-02-01,0.3698705062601821
2011-03-01,0.7436637138056701
2011-04-01,1.6276266695737929
2011-05-01,0.942011779155027
2011-06-01,0.20012445080836805
2011-07-01,0.28859576347294924
2011-08-01,-0.10008994336930967
2011-09-01,-0.5510564303933898
2011-10-01,-0.3761795922411247
2011-11-01,0.1419605477947562
2011-12-01,-0.038131032845543415
2012-01-01,0.38877098631333445
2012-02-01,0.0156412883839999
2012-03-01,-0.3626888978356447
2012-04-01,-0.32215343827373916
2012-05-01,-0.6695656745942754
2012-06-01,-0.702294811521381
2012-07-01,-0.6855143711168642
2012-08-01,-0.1354696389761578
2012-09-01,-0.25992012813415943
2012-10-01,-0.003826814146078108
2012-11-01,-0.3514138779789284
2012-12-01,-0.1480138011368834
2013-01-01,-0.04824217917707136
2013-02-01,-0.3735139772968562
2013-03-01,-0.5402244890769166
2013-04-01,-0.7294315637413257
2013-05-01,-0.8652826217641605
2013-06-01,-0.665974844369456
2013-07-01,-0.655000418277665
2013-08-01,-0.5669230318290409
2013-09-01,-0.2821080666323612
2013-10-01,-0.18409704082839362
2013-11-01,-0.6935900589049586
2013-12-01,-0.4955594256204687
2014-01-01,-0.6357817590449478
2014-02-01,-0.28357614271391474
2014-03-01,-0.6235674253961776
2014-04-01,-0.8232964823138023
2014-05-01,-0.8340974765368819
2014-06-01,-0.6959172693599226
2014-07-01,-0.8214676518504783
2014-08-01,-0.6270414452350217
2014-09-01,-0.8186771827885067
2014-10-01,-0.5961458172402331
2014-11-01,-0.9761691585772284
2014-12-01,-0.39767303042424634
2015-01-01,-0.5116717609947261
2015-02-01,-0.32399188491507935
2015-03-01,-0.3876185031761477
2015-04-01,-0.3582812407252648
2015-05-01,-0.5527244805195275
2015-06-01,-0.8734784144278743
2015-07-01,-0.414816709832867
2015-08-01,-0.6865622193601661
2015-09-01,-0.399141437560272
2015-10-01,-0.24470782993473925
2015-11-01,-0.6451901451011413
2015-12-01,-0.6033113082796154
2016-01-01,-0.8008860244397015
2016-02-01,-0.7547165556777342
2016-03-01,-0.6573826507218029
2016-04-01,-0.27502833657037107
2016-05-01,-0.7132516951736249
2016-06-01,-0.289013695514344
2016-07-01,-0.17080553682677646
2016-08-01,0.09072447718831742
2016-09-01,-0.29392454912662286
2016-10-01,-0.057645021898736125
2016-11-01,-0.3096276315355391
2016-12-01,-0.22154447201814678
2017-01-01,0.16912058236156174
2017-02-01,0.14985112663672945
2017-03-01,0.07974019347784335
2017-04-01,0.013319925453796977
2017-05-01,-0.1423576985953451
2017-06-01,0.08972030270948715
2017-07-01,0.09382858231282074
2017-08-01,0.3951716705285803
2017-09-01,0.5568160218216144
2017-10-01,0.7968298391637002
2017-11-01,0.816022396548774
2017-12-01,0.6895875295621257
2018-01-01,0.5934413376647469
2018-02-01,0.06439536300196103
2018-03-01,0.43997857590198536
2018-04-01,0.5197592600352616
2018-05-01,0.3813440112100352
2018-06-01,0.43724580294644966
2018-07-01,0.4463428326209913
2018-08-01,0.5359397764433794
2018-09-01,0.46847676888746626
2018-10-01,0.5339246187681743
2018-11-01,0.4569789930110894
2018-12-01,0.46618222595709957
2019-01-01,0.5176710434610217
2019-02-01,0.1455120526316433
2019-03-01,0.2159723300073301
2019-04-01,0.01796122213760986
2019-05-01,-0.6209493343396404
2019-06-01,-0.4703344168711041
2019-07-01,-0.4482232694997587
2019-08-01,-0.28814945717740553
2019-09-01,0.13457190635518612
2019-10-01,0.09102320465383414
2019-11-01,0.153681654355693
2019-12-01,0.04339341382665933
2020-01-01,0.06088474881154432
2020-02-01,1.3106860938869027
2020-03-01,2.6715181206256986
2020-04-01,3.3803138987601153
2020-05-01,2.5671178443854386
2020-06-01,2.265554454366861
2020-07-01,2.9740141551952997
2020-08-01,1.489603772807268
2020-09-01,0.6311897218767284
2020-10-01,0.11462600177937504
2020-11-01,0.781742308597677
2020-12-01,1.7221557283244227
2021-01-01,1.3750952549558078
2021-02-01,2.0052617255506835
2021-03-01,2.3315483476092407
2021-04-01,2.8236854522883132
2021-05-01,3.1045126053925336
2021-06-01,2.8283323945924708
2021-07-01,3.0085315073143057
2021-08-01,3.384010537675192
2021-09-01,3.454132878809238
2021-10-01,4.002328998882402
2021-11-01,4.405854333638293
2021-12-01,4.484486185085045
2022-01-01,3.772670540204407
2022-02-01,2.847607837151893
2022-03-01,2.9022657813916783
2022-04-01,3.5976318733604256
2022-05-01,2.799004290770525
2022-06-01,2.463728541847812
2022-07-01,1.8615918954599722
2022-08-01,1.5406963991295524
2022-09-01,1.0447247220649665
2022-10-01,1.1500995065991824
2022-11-01,1.2764877955475322
2022-12-01,1.3487873457295982
2023-01-01,1.0864967578747442
2023-02-01,-0.22179399895649757
2023-03-01,-1.1645111495206057
2023-04-01,-1.3087777672037404
2023-05-01,-1.5884140832492517
2023-06-01,-1.1170218542118622
2023-07-01,-0.9448981210010778
2023-08-01,-1.0745124657019398
2023-09-01,-0.6578442223177703
2023-10-01,-0.37236872494802165
2023-11-01,0.16548782190954878
2023-12-01,-0.16256368125206555
2024-01-01,-0.33844325339810305
2024-02-01,-0.18991522518124412
2024-03-01,-0.3511338521512765
2024-04-01,-0.9566948573362746
2024-05-01,-0.5818250363430836
2024-06-01,-0.347354259426421
2024-07-01,-0.04292550028149605
2024-08-01,0.2118698715930385
2024-09-01,0.10644131687034471
2024-10-01,-0.3472724269657473
2024-11-01,-0.27891756716144805
2024-12-01,-0.2597728254124314
2025-01-01,-0.17753749201280705
2025-02-01,0.0020953615214115676
2025-03-01,-0.18098567373593408
2025-04-01,-0.2449697997948744
2025-05-01,0.27833021443874456
2025-06-01,0.08517081594813035
2025-07-01,0.025331926519054738
2025-08-01,-0.08363413311038037
2025-09-01,-0.02156039977225004
2025-10-01,-0.08045757168648779
2025-11-01,-0.15538774783683265
2025-12-01,0.543267801110933
2026-01-01,0.41147747569247506
