date,views
2021-05-01,72000000.0
2021-06-01,75000000.0
2021-07-01,55000000.0
2021-08-01,37000000.0
2021-09-01,27000000.0
2021-10-01,21000000.0
2021-11-01,15400000.0
2021-12-01,15500000.0
2022-01-01,12900000.0
2022-02-01,10600000.0
2022-03-01,10200000.0
2022-04-01,12900000.0
2022-05-01,10600000.0
2022-06-01,8900000.0
2022-07-01,8100000.0
2022-08-01,6400000.0
2022-09-01,4500000.0
2022-10-01,4100000.0
2022-11-01,3400000.0
2022-12-01,3900000.0
2023-01-01,4400000.0
2023-02-01,4000000.0
2023-03-01,4100000.0
2023-04-01,3900000.0
2023-05-01,3600000.0
2023-06-01,3900000.0
2023-07-01,3900000.0
2023-08-01,3500000.0
2023-09-01,3700000.0
2023-10-01,3200000.0
2023-11-01,2900000.0
2023-12-01,3000000.0
2024-01-01,3100000.0
2024-02-01,3400000.0
2024-03-01,3300000.0
2024-04-01,3200000.0
2024-05-01,3300000.0
2024-06-01,3200000.0
2024-07-01,3400000.0
2024-08-01,3500000.0
2024-09-01,3400000.0
2024-10-01,3400000.0
2024-11-01,3300000.0
2024-12-01,2900000.0
2025-01-01,3200000.0
2025-02-01,2800000.0
2025-03-01,2800000.0
2025-04-01,2600000.0
2025-05-01,2200000.0
2025-06-01,2200000.0
2025-07-01,2100000.0
2025-08-01,1890000.0
2025-09-01,1600000.0
2025-10-01,1630000.0
2025-11-01,1520000.0
2025-12-01,1370000.0
2026-01-01,1500000.0
2026-02-01,470000.0
