edu_group,baseline,recent,delta_recent_minus_baseline
< HS,0.004931557144970325,0.00215313507846379,-0.002778422066506535
College+,0.0032834897287627863,0.00533894424021668,0.0020554545114538935
HS+ (no BA),0.006656488282254501,0.006648225039955427,-8.263242299074575e-6
