
bls_area_name,bls_target,census_area_name,match_score,method
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",100.0,exact
"New Haven, CT","New Haven, CT","New Haven, CT",100.0,exact
"Norwich-New London-Willimantic, CT","Norwich-New London-Willimantic, CT","Norwich-New London-Willimantic, CT",100.0,exact
"Waterbury-Shelton, CT","Waterbury-Shelton, CT","Waterbury-Shelton, CT",100.0,exact
"Dover, DE","Dover, DE","Dover, DE",100.0,exact
"Wilmington, DE-MD-NJ Metropolitan Division","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area, PA",100.0,add metro area
"Washington, DC-MD Metropolitan Division","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area, DC",100.0,add metro area
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area, DC",100.0,add metro area
"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",100.0,exact
"Crestview-Fort Walton Beach-Destin, FL","Crestview-Fort Walton Beach-Destin, FL","Crestview-Fort Walton Beach-Destin, FL",100.0,exact
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",100.0,exact
"Fort Lauderdale-Pompano Beach-Sunrise, FL Metropolitan Division","Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",100.0,exact
"Gainesville, FL","Gainesville, FL","Gainesville, FL",100.0,exact
"Homosassa Springs, FL","Homosassa Springs, FL","Homosassa Springs, FL",100.0,exact
"Jacksonville, FL","Jacksonville, FL","Jacksonville, FL",100.0,exact
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",100.0,exact
"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",100.0,exact
"Miami-Miami Beach-Kendall, FL Metropolitan Division","Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",100.0,exact
"Naples-Marco Island, FL","Naples-Marco Island, FL","Naples-Marco Island, FL",100.0,exact
"North Port-Bradenton-Sarasota, FL","North Port-Bradenton-Sarasota, FL","North Port-Bradenton-Sarasota, FL",100.0,exact
"Ocala, FL","Ocala, FL","Ocala, FL",100.0,exact
"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",100.0,exact
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",100.0,exact
"Panama City-Panama City Beach, FL","Panama City-Panama City Beach, FL","Panama City-Panama City Beach, FL",100.0,exact
"Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL",100.0,exact
"Port St. Lucie, FL","Port St. Lucie, FL","Port St. Lucie, FL",100.0,exact
"Punta Gorda, FL","Punta Gorda, FL","Punta Gorda, FL",100.0,exact
"St. Petersburg-Clearwater-Largo, FL Metropolitan Division","Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",100.0,exact
"Sebastian-Vero Beach-West Vero Corridor, FL","Sebastian-Vero Beach-West Vero Corridor, FL","Sebastian-Vero Beach-West Vero Corridor, FL",100.0,exact
"Sebring, FL","Sebring, FL","Sebring, FL",100.0,exact
"Tallahassee, FL","Tallahassee, FL","Tallahassee, FL",100.0,exact
"Tampa, FL Metropolitan Division","Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",100.0,exact
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",100.0,exact
"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division","Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",100.0,exact
"Wildwood-The Villages, FL","Wildwood-The Villages, FL","Wildwood-The Villages, FL",100.0,exact
"Albany, GA","Albany, GA","Albany, GA",100.0,exact
"Athens-Clarke County, GA","Athens-Clarke County, GA","Athens-Clarke County, GA",100.0,exact
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Division","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA",100.0,exact
"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA",100.0,exact
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area, GA",100.0,add metro area
"Brunswick-St. Simons, GA","Brunswick-St. Simons, GA","Brunswick-St. Simons, GA",100.0,exact
"Columbus, GA-AL","Columbus, GA-AL","Columbus, GA-AL Metro Area, GA",100.0,add metro area
"Dalton, GA","Dalton, GA","Dalton, GA",100.0,exact
"Gainesville, GA","Gainesville, GA","Gainesville, GA",100.0,exact
"Hinesville, GA","Hinesville, GA","Hinesville, GA",100.0,exact
"Macon-Bibb County, GA","Macon-Bibb County, GA","Macon-Bibb County, GA",100.0,exact
"Marietta, GA Metropolitan Division","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA",100.0,exact
"Rome, GA","Rome, GA","Rome, GA",100.0,exact
"Savannah, GA","Savannah, GA","Savannah, GA",100.0,exact
"Valdosta, GA","Valdosta, GA","Valdosta, GA",100.0,exact
"Warner Robins, GA","Warner Robins, GA","Warner Robins, GA",100.0,exact
"Kahului-Wailuku, HI","Kahului-Wailuku, HI","Kahului-Wailuku, HI",100.0,exact
"Urban Honolulu, HI","Urban Honolulu, HI","Urban Honolulu, HI",100.0,exact
"Boise City, ID","Boise City, ID","Boise City, ID",100.0,exact
"Coeur d'Alene, ID","Coeur d'Alene, ID","Coeur d'Alene, ID",100.0,exact
"Idaho Falls, ID","Idaho Falls, ID","Idaho Falls, ID",100.0,exact
"Lewiston, ID-WA","Lewiston, ID-WA","Lewiston, ID-WA Metro Area, ID",100.0,add metro area
"Pocatello, ID","Pocatello, ID","Pocatello, ID",100.0,exact
"Twin Falls, ID","Twin Falls, ID","Twin Falls, ID",100.0,exact
"Bloomington, IL","Bloomington, IL","Bloomington, IL",100.0,exact
"Champaign-Urbana, IL","Champaign-Urbana, IL","Champaign-Urbana, IL",100.0,exact
"Chicago-Naperville-Elgin, IL-IN","Chicago-Naperville-Elgin, IL-IN","Chicago-Naperville-Elgin, IL-IN Metro Area, IL",100.0,add metro area
"Chicago-Naperville-Schaumburg, IL Metropolitan Division","Chicago-Naperville-Elgin, IL-IN","Chicago-Naperville-Elgin, IL-IN Metro Area, IL",100.0,add metro area
