
bls_area_name,bls_target,census_area_name,match_score,method
"Wilmington, NC","Wilmington, NC","Wilmington, NC",100.0,exact
"Winston-Salem, NC","Winston-Salem, NC","Winston-Salem, NC",100.0,exact
"Bismarck, ND","Bismarck, ND","Bismarck, ND",100.0,exact
"Fargo, ND-MN","Fargo, ND-MN","Fargo, ND-MN Metro Area, ND",100.0,add metro area
"Grand Forks, ND-MN","Grand Forks, ND-MN","Grand Forks, ND-MN Metro Area, ND",100.0,add metro area
"Minot, ND","Minot, ND","Minot, ND",100.0,exact
"Akron, OH","Akron, OH","Akron, OH",100.0,exact
"Canton-Massillon, OH","Canton-Massillon, OH","Canton-Massillon, OH",100.0,exact
"Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN Metro Area, OH",100.0,add metro area
"Cleveland, OH","Cleveland, OH","Cleveland, OH",100.0,exact
"Columbus, OH","Columbus, OH","Columbus, OH",100.0,exact
"Dayton-Kettering-Beavercreek, OH","Dayton-Kettering-Beavercreek, OH","Dayton-Kettering-Beavercreek, OH",100.0,exact
"Lima, OH","Lima, OH","Lima, OH",100.0,exact
"Mansfield, OH","Mansfield, OH","Mansfield, OH",100.0,exact
"Sandusky, OH","Sandusky, OH","Sandusky, OH",100.0,exact
"Springfield, OH","Springfield, OH","Springfield, OH",100.0,exact
"Toledo, OH","Toledo, OH","Toledo, OH",100.0,exact
"Weirton-Steubenville, WV-OH","Weirton-Steubenville, WV-OH","Weirton-Steubenville, WV-OH Metro Area, WV",100.0,add metro area
"Youngstown-Warren, OH","Youngstown-Warren, OH","Youngstown-Warren, OH",100.0,exact
"Enid, OK","Enid, OK","Enid, OK",100.0,exact
"Lawton, OK","Lawton, OK","Lawton, OK",100.0,exact
"Oklahoma City, OK","Oklahoma City, OK","Oklahoma City, OK",100.0,exact
"Tulsa, OK","Tulsa, OK","Tulsa, OK",100.0,exact
"Albany, OR","Albany, OR","Albany, OR",100.0,exact
"Bend, OR","Bend, OR","Bend, OR",100.0,exact
"Corvallis, OR","Corvallis, OR","Corvallis, OR",100.0,exact
"Eugene-Springfield, OR","Eugene-Springfield, OR","Eugene-Springfield, OR",100.0,exact
"Grants Pass, OR","Grants Pass, OR","Grants Pass, OR",100.0,exact
"Medford, OR","Medford, OR","Medford, OR",100.0,exact
"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA Metro Area, OR",100.0,add metro area
"Salem, OR","Salem, OR","Salem, OR",100.0,exact
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ Metro Area, PA",100.0,add metro area
"Altoona, PA","Altoona, PA","Altoona, PA",100.0,exact
"Chambersburg, PA","Chambersburg, PA","Chambersburg, PA",100.0,exact
"Erie, PA","Erie, PA","Erie, PA",100.0,exact
"Gettysburg, PA","Gettysburg, PA","Gettysburg, PA",100.0,exact
"Harrisburg-Carlisle, PA","Harrisburg-Carlisle, PA","Harrisburg-Carlisle, PA",100.0,exact
"Johnstown, PA","Johnstown, PA","Johnstown, PA",100.0,exact
"Lancaster, PA","Lancaster, PA","Lancaster, PA",100.0,exact
"Lebanon, PA","Lebanon, PA","Lebanon, PA",100.0,exact
"Montgomery County-Bucks County-Chester County, PA Metropolitan Division","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area, PA",100.0,add metro area
"Philadelphia, PA Metropolitan Division","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area, PA",100.0,add metro area
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area, PA",100.0,add metro area
"Pittsburgh, PA","Pittsburgh, PA","Pittsburgh, PA",100.0,exact
"Reading, PA","Reading, PA","Reading, PA",100.0,exact
"Scranton--Wilkes-Barre, PA","Scranton--Wilkes-Barre, PA","Scranton--Wilkes-Barre, PA",100.0,exact
"State College, PA","State College, PA","State College, PA",100.0,exact
"Williamsport, PA","Williamsport, PA","Williamsport, PA",100.0,exact
"York-Hanover, PA","York-Hanover, PA","York-Hanover, PA",100.0,exact
"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA Metro Area, RI",100.0,add metro area
"Charleston-North Charleston, SC","Charleston-North Charleston, SC","Charleston-North Charleston, SC",100.0,exact
"Columbia, SC","Columbia, SC","Columbia, SC",100.0,exact
"Florence, SC","Florence, SC","Florence, SC",100.0,exact
"Greenville-Anderson-Greer, SC","Greenville-Anderson-Greer, SC","Greenville-Anderson-Greer, SC",100.0,exact
"Hilton Head Island-Bluffton-Port Royal, SC","Hilton Head Island-Bluffton-Port Royal, SC","Hilton Head Island-Bluffton-Port Royal, SC",100.0,exact
"Myrtle Beach-Conway-North Myrtle Beach, SC","Myrtle Beach-Conway-North Myrtle Beach, SC","Myrtle Beach-Conway-North Myrtle Beach, SC",100.0,exact
"Spartanburg, SC","Spartanburg, SC","Spartanburg, SC",100.0,exact
"Sumter, SC","Sumter, SC","Sumter, SC",100.0,exact
"Rapid City, SD","Rapid City, SD","Rapid City, SD",100.0,exact
"Sioux Falls, SD-MN","Sioux Falls, SD-MN","Sioux Falls, SD-MN Metro Area, SD",100.0,add metro area
"Chattanooga, TN-GA","Chattanooga, TN-GA","Chattanooga, TN-GA Metro Area, TN",100.0,add metro area
"Clarksville, TN-KY","Clarksville, TN-KY","Clarksville, TN-KY Metro Area, TN",100.0,add metro area
"Cleveland, TN","Cleveland, TN","Cleveland, TN",100.0,exact
"Jackson, TN","Jackson, TN","Jackson, TN",100.0,exact
"Johnson City, TN","Johnson City, TN","Johnson City, TN",100.0,exact
"Kingsport-Bristol, TN-VA","Kingsport-Bristol, TN-VA","Kingsport-Bristol, TN-VA Metro Area, TN",100.0,add metro area
"Knoxville, TN","Knoxville, TN","Knoxville, TN",100.0,exact
"Memphis, TN-MS-AR","Memphis, TN-MS-AR","Memphis, TN-MS-AR Metro Area, TN",100.0,add metro area
"Morristown, TN","Morristown, TN","Morristown, TN",100.0,exact
"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",100.0,exact
"Abilene, TX","Abilene, TX","Abilene, TX",100.0,exact
"Amarillo, TX","Amarillo, TX","Amarillo, TX",100.0,exact
"Austin-Round Rock-San Marcos, TX","Austin-Round Rock-San Marcos, TX","Austin-Round Rock-San Marcos, TX",100.0,exact
"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX",100.0,exact
"Brownsville-Harlingen, TX","Brownsville-Harlingen, TX","Brownsville-Harlingen, TX",100.0,exact
"College Station-Bryan, TX","College Station-Bryan, TX","College Station-Bryan, TX",100.0,exact
"Corpus Christi, TX","Corpus Christi, TX","Corpus Christi, TX",100.0,exact
"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",100.0,exact
"Dallas-Plano-Irving, TX Metropolitan Division","Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",100.0,exact
"Eagle Pass, TX","Eagle Pass, TX","Eagle Pass, TX",100.0,exact
"El Paso, TX","El Paso, TX","El Paso, TX",100.0,exact
"Fort Worth-Arlington-Grapevine, TX Metropolitan Division","Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",100.0,exact
"Houston-Pasadena-The Woodlands, TX","Houston-Pasadena-The Woodlands, TX","Houston-Pasadena-The Woodlands, TX",100.0,exact
"Killeen-Temple, TX","Killeen-Temple, TX","Killeen-Temple, TX",100.0,exact
"Laredo, TX","Laredo, TX","Laredo, TX",100.0,exact
"Longview, TX","Longview, TX","Longview, TX",100.0,exact
"Lubbock, TX","Lubbock, TX","Lubbock, TX",100.0,exact
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",100.0,exact
"Midland, TX","Midland, TX","Midland, TX",100.0,exact
"Odessa, TX","Odessa, TX","Odessa, TX",100.0,exact
"San Angelo, TX","San Angelo, TX","San Angelo, TX",100.0,exact
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",100.0,exact
"Sherman-Denison, TX","Sherman-Denison, TX","Sherman-Denison, TX",100.0,exact
"Texarkana, TX-AR","Texarkana, TX-AR","Texarkana, TX-AR Metro Area, TX",100.0,add metro area
"Tyler, TX","Tyler, TX","Tyler, TX",100.0,exact
"Victoria, TX","Victoria, TX","Victoria, TX",100.0,exact
"Waco, TX","Waco, TX","Waco, TX",100.0,exact
"Wichita Falls, TX","Wichita Falls, TX","Wichita Falls, TX",100.0,exact
"Logan, UT-ID","Logan, UT-ID","Logan, UT-ID Metro Area, UT",100.0,add metro area
"Ogden, UT","Ogden, UT","Ogden, UT",100.0,exact
"Provo-Orem-Lehi, UT","Provo-Orem-Lehi, UT","Provo-Orem-Lehi, UT",100.0,exact
"St. George, UT","St. George, UT","St. George, UT",100.0,exact
"Salt Lake City-Murray, UT","Salt Lake City-Murray, UT","Salt Lake City-Murray, UT",100.0,exact
"Burlington-South Burlington, VT","Burlington-South Burlington, VT","Burlington-South Burlington, VT",100.0,exact
"Arlington-Alexandria-Reston, VA-WV Metropolitan Division","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area, DC",100.0,add metro area
"Blacksburg-Christiansburg-Radford, VA","Blacksburg-Christiansburg-Radford, VA","Blacksburg-Christiansburg-Radford, VA",100.0,exact
"Charlottesville, VA","Charlottesville, VA","Charlottesville, VA",100.0,exact
"Harrisonburg, VA","Harrisonburg, VA","Harrisonburg, VA",100.0,exact
"Lynchburg, VA","Lynchburg, VA","Lynchburg, VA",100.0,exact
"Richmond, VA","Richmond, VA","Richmond, VA",100.0,exact
"Roanoke, VA","Roanoke, VA","Roanoke, VA",100.0,exact
"Staunton-Stuarts Draft, VA","Staunton-Stuarts Draft, VA","Staunton-Stuarts Draft, VA",100.0,exact
"Virginia Beach-Chesapeake-Norfolk, VA-NC","Virginia Beach-Chesapeake-Norfolk, VA-NC","Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area, VA",100.0,add metro area
"Winchester, VA-WV","Winchester, VA-WV","Winchester, VA-WV Metro Area, VA",100.0,add metro area
"Bellingham, WA","Bellingham, WA","Bellingham, WA",100.0,exact
"Bremerton-Silverdale-Port Orchard, WA","Bremerton-Silverdale-Port Orchard, WA","Bremerton-Silverdale-Port Orchard, WA",100.0,exact
"Everett, WA Metropolitan Division","Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",100.0,exact
"Kennewick-Richland, WA","Kennewick-Richland, WA","Kennewick-Richland, WA",100.0,exact
"Longview-Kelso, WA","Longview-Kelso, WA","Longview-Kelso, WA",100.0,exact
"Mount Vernon-Anacortes, WA","Mount Vernon-Anacortes, WA","Mount Vernon-Anacortes, WA",100.0,exact
"Olympia-Lacey-Tumwater, WA","Olympia-Lacey-Tumwater, WA","Olympia-Lacey-Tumwater, WA",100.0,exact
"Seattle-Bellevue-Kent, WA Metropolitan Division","Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",100.0,exact
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",100.0,exact
"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA",100.0,exact
"Tacoma-Lakewood, WA Metropolitan Division","Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",100.0,exact
"Walla Walla, WA","Walla Walla, WA","Walla Walla, WA",100.0,exact
"Wenatchee-East Wenatchee, WA","Wenatchee-East Wenatchee, WA","Wenatchee-East Wenatchee, WA",100.0,exact
"Yakima, WA","Yakima, WA","Yakima, WA",100.0,exact
"Beckley, WV","Beckley, WV","Beckley, WV",100.0,exact
"Charleston, WV","Charleston, WV","Charleston, WV",100.0,exact
"Huntington-Ashland, WV-KY-OH","Huntington-Ashland, WV-KY-OH","Huntington-Ashland, WV-KY-OH Metro Area, WV",100.0,add metro area
"Morgantown, WV","Morgantown, WV","Morgantown, WV",100.0,exact
"Parkersburg-Vienna, WV","Parkersburg-Vienna, WV","Parkersburg-Vienna, WV",100.0,exact
"Wheeling, WV-OH","Wheeling, WV-OH","Wheeling, WV-OH Metro Area, WV",100.0,add metro area
"Appleton, WI","Appleton, WI","Appleton, WI",100.0,exact
"Eau Claire, WI","Eau Claire, WI","Eau Claire, WI",100.0,exact
"Fond du Lac, WI","Fond du Lac, WI","Fond du Lac, WI",100.0,exact
"Green Bay, WI","Green Bay, WI","Green Bay, WI",100.0,exact
"Janesville-Beloit, WI","Janesville-Beloit, WI","Janesville-Beloit, WI",100.0,exact
"Kenosha, WI","Kenosha, WI","Kenosha, WI",100.0,exact
"La Crosse-Onalaska, WI-MN","La Crosse-Onalaska, WI-MN","La Crosse-Onalaska, WI-MN Metro Area, WI",100.0,add metro area
"Madison, WI","Madison, WI","Madison, WI",100.0,exact
"Milwaukee-Waukesha, WI","Milwaukee-Waukesha, WI","Milwaukee-Waukesha, WI",100.0,exact
"Oshkosh-Neenah, WI","Oshkosh-Neenah, WI","Oshkosh-Neenah, WI",100.0,exact
"Racine-Mount Pleasant, WI","Racine-Mount Pleasant, WI","Racine-Mount Pleasant, WI",100.0,exact
"Sheboygan, WI","Sheboygan, WI","Sheboygan, WI",100.0,exact
"Wausau, WI","Wausau, WI","Wausau, WI",100.0,exact
"Casper, WY","Casper, WY","Casper, WY",100.0,exact
"Cheyenne, WY","Cheyenne, WY","Cheyenne, WY",100.0,exact
"Aguadilla, PR","Aguadilla, PR","Aguadilla, PR",100.0,exact
"Arecibo, PR","Arecibo, PR","Arecibo, PR",100.0,exact
"Guayama, PR","Guayama, PR","Guayama, PR",100.0,exact
"Mayaguez, PR","Mayaguez, PR","Mayagüez, PR",90.91,fuzzy
"Ponce, PR","Ponce, PR","Ponce, PR",100.0,exact
"San Juan-Bayamon-Caguas, PR","San Juan-Bayamon-Caguas, PR","San Juan-Bayamón-Caguas, PR",96.15,fuzzy
