LineDescription,Past 1 Month,Past 3 Months,Past 6 Months,2025,2024,2018-2019
Core Non-Housing Services,0.02152681229042585,0.02013941198142091,0.019253681478530463,0.017317470126252208,0.01981076262311749,0.011645057648819304
Housing,0.005775085863270668,0.003737274942296359,0.004369368709251659,0.005192901739610266,0.007405571104515663,0.005091493431112777
PCE food and energy,0.00474207472833705,0.003647934094384414,0.004007693400530439,0.002323815664745536,7.633088711234898e-4,0.0013231945487540123
PCE goods excluding food and energy,0.01148165665621412,0.003568948903675764,0.002051601791618428,0.004246336706615156,-4.4615917093080435e-4,-7.680745848653171e-4
Personal consumption expenditures,0.043545972335249816,0.031070578708249696,0.029598123092118067,0.029012874162859248,0.027280946901200087,0.017141155382537132
