date,svc_index,svc_weight,hsg_index,hsg_weight,svc_yoy,hsg_yoy,svc_3mo,hsg_3mo,svc_6mo,hsg_6mo
1959-01-01,10.133999999999999,0.4284706182148446,11.93,0.13848822735722383,NA,NA,NA,NA,NA,NA
1959-02-01,10.145,0.42784134593641177,11.936,0.13782732576545612,NA,NA,NA,NA,NA,NA
1959-03-01,10.156,0.425452987189081,11.940999999999999,0.1373096430467346,NA,NA,NA,NA,NA,NA
1959-04-01,10.183,0.4293561995304187,11.996,0.13842719087231295,NA,NA,1.9481560991079894,2.231340073044108,NA,NA
1959-05-01,10.190999999999999,0.42814664853066775,11.999,0.13756366051940658,NA,NA,1.8260743336202756,2.1280342698503762,NA,NA
1959-06-01,10.222999999999999,0.4298931780397432,12.052000000000001,0.13759259317458272,NA,NA,2.665062144211916,3.7704496610953653,NA,NA
1959-07-01,10.254,0.43234619414891107,12.058,0.13868408714012845,NA,NA,2.818266474416231,2.0834384301256614,2.38228694639262,2.1573624854118956
1959-08-01,10.280999999999999,0.4319420541540038,12.063,0.13856778308413578,NA,NA,3.579600166273722,2.150641414983867,2.6990947670798793,2.1393372169443703
1959-09-01,10.31,0.4304779352801115,12.068,0.13781351394697558,NA,NA,3.4477902087557633,0.5320906120313884,3.055683057574776,2.138436683652478
1959-10-01,10.343,0.4348686778564657,12.116,0.13940779568393463,NA,NA,3.517278637013699,1.937960554458118,3.167180535317904,2.010673558964471
1959-11-01,10.371,0.43755188007185775,12.12,0.14037353651737594,NA,NA,3.5478534653924143,1.9035158135438657,3.5637255993682393,2.027003792111115
1959-12-01,10.393,0.441052308816834,12.166,0.14100987700970358,NA,NA,3.2592694222085106,3.288041472461156,3.353486831833674,1.9007494793278124
1960-01-01,10.405000000000001,0.44081791577951995,12.167,0.1413120397524127,2.674166173278092,1.986588432523062,2.419402867885201,1.6943848398479844,2.96687751170972,1.816099858589726
1960-02-01,10.424,0.43954287540957404,12.167,0.141163958713707,2.7501232134056197,1.935321715817695,2.0598847959671263,1.560201272639028,2.8011770144079184,1.7317137200247412
1960-03-01,10.432,0.43506587914584277,12.164,0.13962138421929426,2.7176053564395453,1.8675152834771058,1.5094803212711616,-0.06574081460922754,2.3806367307925624,1.5973125001853994
1960-04-01,10.454,0.43076895643749147,12.163,0.13750809850155432,2.6612982421683196,1.3921307102367386,1.8970579387925568,-0.13143841155892622,2.1578965527649707,0.7773384029216679
1960-05-01,10.484,0.4413862478108847,12.207999999999998,0.14073360360196582,2.8750858600726126,1.7418118176514508,2.3223340759692457,1.3547368080631284,2.191025182487949,1.4574170288315758
1960-06-01,10.506,0.4416089572314012,12.209999999999999,0.14152292321767213,2.768267631810639,1.3109857285097615,2.8677574826221353,1.521262491478148,2.186362122719343,0.7246353115833548
1960-07-01,10.533999999999999,0.44056420996722656,12.245999999999999,0.14181298020919467,2.7306417007996853,1.5591308674738569,3.096345999403316,2.7576570395476896,2.4949478831957084,1.3028104286251674
