date,mkt_svc_index,mkt_svc_weight,mkt_hsg_index,mkt_hsg_weight,mkt_core_index,mkt_core_weight
1987-01-01,41.193000000000005,0.5049813764718787,41.207,0.15048062805608792,53.547,0.7347736391402723
1987-02-01,41.303,0.49875654417557963,41.393,0.14804270225521077,53.694,0.7366362229592083
1987-03-01,41.485,0.5011812665952277,41.58,0.14815429376054287,53.91,0.7372321491684674
1987-04-01,41.64,0.49990259434691814,41.803,0.1476597304627624,54.112,0.7373670462196406
1987-05-01,41.784,0.5016400401390761,41.926,0.1480021821276138,54.27,0.7366127356604332
1987-06-01,41.955999999999996,0.5014132287321686,41.995000000000005,0.14732921736906116,54.422000000000004,0.7385203031420379
1987-07-01,42.075,0.501748933594809,42.035000000000004,0.14706326179589063,54.564,0.7397273376173724
1987-08-01,42.251,0.5001285613489966,42.29500000000001,0.14698506867731292,54.746,0.741114174934785
1987-09-01,42.445,0.5023874718577694,42.425000000000004,0.14829000466651676,54.977,0.7422454741344156
1987-10-01,42.599000000000004,0.5079074106213121,42.69800000000001,0.1494451477224003,55.203,0.7401825729424015
1987-11-01,42.726000000000006,0.5070591056579073,42.771,0.1497465464609693,55.340999999999994,0.7424102289764599
1987-12-01,42.865,0.5062495766456473,43.028000000000006,0.14938840064208087,55.449999999999996,0.7441786610502968
1988-01-01,43.086,0.5058301431141207,43.216,0.14851999032899166,55.726000000000006,0.7419505502797529
1988-02-01,43.263000000000005,0.5061176456710537,43.372,0.14889152885731413,55.858,0.742975067819492
1988-03-01,43.449,0.5057564084476804,43.489,0.14773227747551018,56.112,0.743587565249928
1988-04-01,43.631,0.5072498323614177,43.585,0.14826513987861373,56.373,0.7436505737713961
1988-05-01,43.784,0.5072202746989503,43.69800000000001,0.14775285231363944,56.555,0.7438346365512706
1988-06-01,44.009,0.5086729535774069,43.87,0.14745271633416554,56.778000000000006,0.7436588735692105
1988-07-01,44.165000000000006,0.5096826459068073,44.002,0.14727200766558382,56.980999999999995,0.7419075947734982
1988-08-01,44.333999999999996,0.5114377435441863,44.179,0.14727854032040646,57.094,0.741511509003044
1988-09-01,44.529,0.510606839956954,44.35099999999999,0.1480856843512518,57.393,0.743898355907214
1988-10-01,44.743,0.510908083725947,44.428000000000004,0.14717923074376746,57.638000000000005,0.7432302153025739
1988-11-01,44.893,0.5108508885420378,44.629000000000005,0.1474270208435246,57.800999999999995,0.7451564415872307
1988-12-01,45.1,0.5099110363846416,44.757,0.14673027858540366,58.029,0.7472284678944507
1989-01-01,45.327,0.5087674327483785,44.900999999999996,0.14636346804946976,58.324,0.7476706819816031
1989-02-01,45.547,0.514370797569159,45.031,0.1467882412068081,58.513,0.7412425018155046
1989-03-01,45.76200000000001,0.5142862042552219,45.173,0.14709725731401982,58.7,0.7439444260252204
1989-04-01,45.932,0.5093291944259101,45.312999999999995,0.14597297629894065,58.899,0.7433047583887389
1989-05-01,46.120000000000005,0.5115924907553447,45.504,0.1465208168744591,59.106,0.7423904395033254
1989-06-01,46.305,0.5113032043526596,45.650999999999996,0.14657926206100846,59.287,0.7439604884825833
1989-07-01,46.516999999999996,0.5120079962205364,45.815999999999995,0.1466349331538051,59.483,0.7452295148442672
1989-08-01,46.706,0.5104723169184683,46.016999999999996,0.14607938207626772,59.601,0.7469928667327139
1989-09-01,46.909,0.5137017844954973,46.153999999999996,0.14683295673167188,59.858,0.7463510501774777
1989-10-01,47.106,0.5167163465203508,46.400999999999996,0.14747912469152485,60.102000000000004,0.7464384484914268
1989-11-01,47.28,0.5176634111877878,46.565000000000005,0.14803663937085507,60.29200000000001,0.7464711878865664
1989-12-01,47.493,0.5181212447586766,46.761,0.14736424673686221,60.47,0.7421342147949179
1990-01-01,47.673,0.5103948432142421,46.873,0.14636813077238134,60.707,0.751152867990316
1990-02-01,47.833999999999996,0.5148162681892468,46.899,0.14686984423988522,61.026,0.746499749345065
1990-03-01,48.183,0.5169840062957484,47.269000000000005,0.14731039184641995,61.388999999999996,0.7472483398425797
1990-04-01,48.358,0.5189309470500062,47.43,0.14750751394366723,61.58,0.7473781767648782
1990-05-01,48.576,0.5218405550755951,47.553,0.14794185245197408,61.803999999999995,0.747543682434383
1990-06-01,48.829,0.5220441814106257,47.928000000000004,0.14827614485598092,62.039,0.7470140591552731
1990-07-01,49.034,0.5227586484800529,48.141,0.14858367140171735,62.28,0.7482086562252729
1990-08-01,49.332,0.5236484379547477,48.437,0.14871652017728404,62.550999999999995,0.7445734310945542
1990-09-01,49.488,0.5217792821890908,48.516,0.14841993746931603,62.749,0.7424523914110747
1990-10-01,49.704,0.5235903105268475,48.599000000000004,0.148780367446392,62.983999999999995,0.7423250591453259
1990-11-01,49.858,0.5230437330524704,48.598000000000006,0.14893422492501698,63.093,0.7423221347165728
1990-12-01,49.965,0.5258384481910238,48.733000000000004,0.1498800921969285,63.221000000000004,0.741987931525652
1991-01-01,50.335,0.5294642480566228,48.878,0.151338169234318,63.626000000000005,0.7407137319141868
1991-02-01,50.491,0.528074507078788,48.985,0.15094190306807392,63.842999999999996,0.744862341023712
1991-03-01,50.666000000000004,0.5243001595451469,49.058,0.14957530017257864,64.042,0.7458177219058835
1991-04-01,50.764,0.5290274396806413,49.15,0.15048070438299302,64.21300000000001,0.746153328356043
1991-05-01,51.025000000000006,0.5300955628987031,49.282000000000004,0.15005894659872912,64.46700000000001,0.7433836034130805
1991-06-01,51.181,0.5308353392149971,49.340999999999994,0.1503638502269385,64.607,0.7455398370001738
1991-07-01,51.364,0.5301464071437306,49.388999999999996,0.15008238790013603,64.832,0.746533719785325
1991-08-01,51.504,0.530969828210642,49.478,0.1505301573024649,65.007,0.7471102427373425
1991-09-01,51.785000000000004,0.5318186426709309,49.582,0.150855972382418,65.313,0.7478894312958441
1991-10-01,51.980999999999995,0.5351838321749377,49.751,0.15190748595652212,65.48700000000001,0.7492324659303403
1991-11-01,52.056,0.5360413151056107,49.897,0.1517245100125588,65.616,0.7484731135096359
1991-12-01,52.276,0.5365669115545685,50.113,0.15185603506447864,65.777,0.751597011201899
1992-01-01,52.476,0.5346814037814228,50.208000000000006,0.15018460564459207,65.992,0.7530757202631411
1992-02-01,52.645,0.5339971152854016,50.336,0.15012102580314518,66.187,0.7548865860283315
1992-03-01,52.815999999999995,0.537806451236808,50.461,0.1505318545575198,66.37299999999999,0.7512832738524496
