Income quintile,Loan balance share,Has vehicle installment loan,Average vehicles per household
Q1 (lowest),0.053543196712493205,0.13121396617080613,0.9036544305273525
Q2,0.1278960100662457,0.29839589325153926,1.42032772185477
Q3,0.19214144131055738,0.4006155479636101,1.8052596709776403
Q4,0.2955378024750571,0.503836113047248,2.0977481541264646
Q5 (highest),0.33088154943564657,0.4072182360665647,2.326765454899294
