quadrant,Sn_All_Core,SnW_All_Core,fall_all,Sn_Goods,SnW_Goods,fall_goods,Sn_Services,SnW_Services,fall_services
Demand+,14%,-2.52,NA,32%,-2.1,NA,9%,-2.65,NA
Supply-,27%,-3.94,NA,25%,-7.18,NA,27%,-2.93,NA
Demand-,23%,2.02,27%,4%,1.33,13%,28%,2.24,34%
Supply+,37%,5.44,73%,39%,8.94,87%,36%,4.34,66%
