age,yb1980,yb1986
18,0.18675306892867805,0.13380460640541378
20,0.34808583182982844,0.2735126299512358
22,0.5094200465997384,0.446839854768881
24,0.7193875874533786,0.6362458377633852
26,0.922265507078185,0.8446526348297815
28,1.1568968002696445,1.0761521110166716
30,1.339811694207892,1.2395819363849496
32,1.5861904604528552,1.3825546573625718
34,1.7353426691872385,1.506903190420488
36,1.952939751531869,1.7043874650741129
38,1.87085967431126,1.8338257257826265
